Model,MAE,RMSE,R2,QLIKE
Random Forest,0.04174029870697342,0.07061751677301391,0.4108738961502475,0.35935516847164256
Linear Regression,0.04782299375331703,0.07592317772311981,0.31902348132460245,0.3976214976750589
XGBoost,0.04541188547969134,0.07853023487669895,0.2714536684016118,0.3742789025349725
HAR,0.04948426711711932,0.08240232086364684,0.19783765680414167,0.5150188887855892
"GARCH(1,1)",0.053507404357493835,0.08513095256717643,0.14383322786581776,0.44905132964634237
Naive (last 5d RV),0.0557628605654291,0.0939832305194954,-0.043479979992449014,0.9710928688176393
Naive (last 21d RV),0.05727754749507668,0.09697016024505013,-0.11086071785536333,0.5991273569485618
